app_date,app_method,app_recipient,ct_credit_product,ct_guarantee,ct_guarantee_ff,ct_loan_term_flag,ct_loan_term,credit_purpose,credit_purpose_ff,amount_applied_for_flag,amount_applied_for,action_taken,action_taken_date,denial_reasons,denial_reasons_ff,pricing_interest_rate_type,pricing_init_rate_period,pricing_fixed_rate,pricing_adj_margin,pricing_adj_index_name,pricing_adj_index_value,pricing_origination_charges,pricing_broker_fees,pricing_initial_charges,pricing_mca_addcost_flag,pricing_mca_addcost,pricing_prepenalty_allowed,pricing_prepenalty_exists,census_tract_adr_type,census_tract_number,gross_annual_revenue_flag,gross_annual_revenue,naics_code_flag,naics_code,number_of_workers,time_in_business_type,time_in_business,business_ownership_status,num_principal_owners_flag,num_principal_owners,po_1_ethnicity,po_1_ethnicity_ff,po_1_race,po_1_race_anai_ff,po_1_race_asian_ff,po_1_race_baa_ff,po_1_race_pi_ff,po_1_gender,po_1_gender_ff,po_2_ethnicity,po_2_ethnicity_ff,po_2_race,po_2_race_anai_ff,po_2_race_asian_ff,po_2_race_baa_ff,po_2_race_pi_ff,po_2_gender,po_2_gender_ff,po_3_ethnicity,po_3_ethnicity_ff,po_3_race,po_3_race_anai_ff,po_3_race_asian_ff,po_3_race_baa_ff,po_3_race_pi_ff,po_3_gender,po_3_gender_ff,po_4_ethnicity,po_4_ethnicity_ff,po_4_race,po_4_race_anai_ff,po_4_race_asian_ff,po_4_race_baa_ff,po_4_race_pi_ff,po_4_gender,po_4_gender_ff,ct_credit_product_ff,amount_approved
20510527,2,1,988,977,cong,900,945,9;1,ullamcorper volutpat quisque fermentum convallis auctor est tincidunt varius potenti rhoncus molestie netus mattis laoreet tellu,999,27977537,2,20680114,2;9;4,,1,192,9.591344311202231,9.038750699826286,2,5.071533452603404,444844.1065770587,292860.03292027966,141286.19669692602,999,218725.93175835247,1,999,2,6065046401,988,24769400.504083507,900,445,7,988,60,2;3,900,1,12,,2;44;5;21;974;22;24;25;34;971;27;36;1;973;37;31;43;23;4;42;3;41;972;35;26,,malesuada quis metus quisque dis curabitur semper nam bibendum quam egestas pretium enim proin quam consectetur lorem c,,mi sem porttitor mauris nibh dignissim arcu f,1,,966,,36;26,,,,,988,,1,,43;974;26;44;25;971;2;36;35;42;5;24;3;4;973;21;23;1;37,,,,ligula arcu quam a platea quisque fames semper id dis nec natoque semper ante libero gravida lectus cursus ultricies et facilisis et,988,,1;977;11;12,,972;43;3;2;27;25;22;4;21;33;42;36;37;24;1;973;974;23;971;31;34;5,,,duis rutrum vitae praesent eleifend turpis praesent facilisi gravida au,cras in sollicitudin montes pulvinar sit velit placerat iaculis hendrerit odio fusce mus sem phasellus mauris justo eros vulputate magnis purus placerat curabitur ligula a venenatis quisque egestas euismod iaculis nascetur porttitor vivamus morbi volutpat est purus fringilla lobortis ,988,scelerisque magnis posuere risus ligula accumsan auctor lacinia magnis viverra habitant nunc at vulputate pellentesque sollicitudin pellentesque ante nec magna bibendum posuere nisl elit elit non commodo amet nibh elementum suscipit in lacus ante nam bibendum ut tempor nunc suspe,,41598360
20831024,3,2,988,2,in proin tincidunt dolor nam viverra phasellus mauris porttitor cursus ut fringilla erat cum fusce lectus fringilla condimentum fusce accumsan adipiscing proin,900,389,5;3,,999,23862762,4,20490915,5,maecenas posuere lacus aenean in cum urna nam semper hac faucibus maecenas tempor magnis vestibulum a elit nibh tristique porttitor lectus potenti interdum metus lacinia eleifend montes eu lac,1,716,3.7334118599325508,5.439480914572383,977,12.798547946927442,512020.0905454236,308533.2840363312,330196.6241837691,900,164100.4634088637,2,999,1,72091570600,900,16193532.103298513,900,484,1,2,51,988,900,2,977;2,,35;44;34;973;2;24,,,,,988,ridiculus lobortis justo sagittis condimentum i,11;2,,22;35;974;5;21;41;4;3;25;32;972;24;34;971;33;2;36;44;27;31;973;43;26,,,posuere semper netus magna senectus fusce neque nec blandit consectetur fames metus egestas hac ut tincidunt netus d,,966,quam phasellus neque quam donec pulvinar dignissim fringilla venenatis nisl erat diam habitasse nunc sapien interdum accumsan elementum impe,12,neque rhoncus congue ipsum metus blandit luctus auctor aliquam ipsum ipsum condimentum turpis purus sagittis id egestas nullam pretium cras sociis massa congue elit posuere laoreet lorem phasellus turpis fringilla sollicitudin fringilla ultrices augue venenatis laoreet euismod quisque vitae ,4;25;22;43;5;26;2;972;27;1;23;41;3;33;35;34;21;31;44,,,,,966,,988,vel convallis adipiscing porttitor blandit v,973;27;32;5;21;971;24;2;35;22;33;974;41;42;31;36;1;972;26;4;44,,,,,1,varius dictum amet hendrerit ultrices laoreet erat vel euismo,,
20690617,3,1,977,11,id nec a natoque non nibh dui ut magnis ultricies magna quis penatibus pellentesque montes sagittis netus imperdiet ridiculus sapi,988,655,5;11,,988,28138394,5,20690902,3,,999,646,8.026028383940988,8.280178350640975,1,7.794087334655638,287272.22315737023,285563.74129148567,180713.6677309694,900,255292.45139385705,1,999,2,36081091601,988,25357155.39662401,900,441,4,1,55,3,900,1,1;14;977,vel felis nibh consequat rutrum justo orci fusce iaculis volutpat odio porttitor netus tempor lacus sed diam justo in id lacus mauris tortor id non adipiscing elit condimentum sollicitudin venenatis lacus penatibus dui,42;35;36;971;34;2;44;3;23;21;25;22;32;1;41;5;974;27;973;43;33;31;24;972,,,,magna vivamus eros tempor vitae adipiscing vitae donec quam nunc mattis elementum sollicitudin a bibendum sceleris,1,,1;11;14;12;2,,24;42;23;25;1;26;34;974;22;2;972;27;43;41;4;21;3;31;35;971;33,rhoncus mauris tristique massa nullam malesuada molestie,,,,988,,12;1,,988,,,,,1,,12;14;2;977,,966,,,,,988,,malesuada mus feugiat malesuada eu cum orci elementum vel eleifend sapien sociis libero dui auctor ut consectetur velit iaculis lobortis v,
20740502,3,1,1,10;977,,900,748,999,praesent vestibulum netus imperdiet dictumst ultrices aliquet lorem vel est erat placerat egestas a fames interdum habitasse eget nunc nisl morbi ligula ornare dignissim mattis tempu,988,21308105,2,20611117,6;7,,6,236,5.735721152834018,1.5770418846557714,10,3.280393494981211,254373.45960347148,494735.8927651045,102546.28489236812,999,227034.1222901732,2,999,998,55117011000,988,24134626.113322716,988,531,988,2,63,2;955,900,2,2;1,,25;22;36;21;34;27;974;35;37;4;24;32,,,,,1,,977;11;12;2;1,,988,justo auctor consequat facilisi ha,consequat sociis hendrerit sagittis ligula enim vulputate potenti aliquam laoreet tempor a sagittis curabitur facilisis tincidunt quam netus imperdiet platea sed consec,,,966,,13;12;14,,21;32;24;22;36;3;974;973;42;4;44;25;31,,,,,966,,988,egestas luctus ridiculus posuere laoreet ornare nullam nec velit bibendum magna non massa arcu lectus nisi a condimentum penatibus senectus ornare est platea a viverra magna venenatis tempu,41;31;36;23;32;971;973;44,,,et pulvinar porta tristique magna etiam a suscipit at et netus lectus morb,,966,,,28017506
20620721,3,2,3,977;2;7;1,volutpat portt,999,717,999,,900,15321111,5,20770627,5;9;1,,2,245,3.7696563801884477,10.697375453272373,999,7.056625620388766,252783.69519898092,245533.3865084368,206446.9847457216,900,687149.578983368,999,1,1,48215023504,988,20356263.689087547,988,928,6,1,53,966,988,1,12;1,,2;24;22;21;36;4;35;33;3;32;974;37;41;973;23;31;972;42;26;34;43;25;971;5;1;44,,interdum nec duis fusce quam praesent malesuada nascetur ultricies sollicitudin urna neque felis sollicitudin scelerisque integer eros ipsum dictum est vivamus r,,turpis at fusce mus tortor molestie sem ullamcorper quis fusce ornare dui purus varius metus nib,988,,14;977;11,,24;25,,,,praesent vel pellentesque donec risus fusce viverra hac at vivamus aliquet varius ac luctu,988,nec laoreet morbi fermentum gravida elementum ut lacinia elit porttitor habi,988,cum tortor facilisi condimentum mus eget lorem imperdiet nisl lacinia ac molestie ut egestas fames at eros orci justo adipiscing donec vulputate scelerisque bibendum neque auctor vel viverra curabitur maecenas egestas malesuada va,35;2;971;27;37;25;1;42;41;32;31;973;5;34;26;44;974;972;33,,,,,988,,13;977;14,,988,,,,,1,vivamus egestas laoreet porta phasellus dolor mauris non etiam risus placerat pharetra massa maecenas ut convallis facilisis ut suscipit elementum nascetur vestibulum mauris donec nisi porttitor libero placerat ante magnis,,
20651011,1,1,5,7;3,,988,733,2;4,eu sed velit libero integer fringilla donec lacinia sagittis facilisi elit mattis vivamus montes volutpa,988,32960039,3,20640912,3;1,,4,152,3.05750865983198,4.43831348444769,1,8.394286778835257,207172.1159980124,261539.02392175538,183171.83476734444,999,174043.26766833116,2,1,998,39125960200,988,22497019.886729427,900,927,6,3,62,988,988,2,988,,966,,dignissim sit non facilisis dictum elementum blandit ,,,1,,988,,21;5;44;34;27;32;22;24;35;972;3;33;26;1;31;42;971;43,,ullamcorper elit tincidunt,,,988,,988,nisl ligula turpis commodo luctus maecenas imperdiet arcu faucibus scelerisque habitasse euismod eleifend phasellus placerat feugiat duis interdum cras etiam hac facil,31;23;26;36;2;27;32;42;43;4;44;973,,,,,1,,988,,972;33;32;27;41;43;26;22;37;3;1;34;24;36;974,,,,,988,,,
20630427,3,1,977,1,,988,682,2,imperdiet hendrerit platea non ridiculus interdum nullam semper felis parturient libero habitasse elementum ante rhoncus tortor ornare nascetur neque praesent ullamcorper iaculis porttitor enim lacus nec sem orci o,988,12786483,2,20790630,8;7,,4,529,2.569748079113508,4.901756936751728,8,5.493247029839619,100113.20188216645,223063.01560103823,178879.00494065345,999,346176.8810383189,999,999,2,34013004900,988,31134884.221793447,988,459,6,3,59,955,900,2,13,,3;26;34;33;5;22;973;24;43;41;1;974,,hendrerit venenatis dictum eget auctor consequat dictum erat sociis penatibus tincidunt praesent eu magnis vulputate congue parturient vulputate dictumst enim adipiscing purus vivamus semper tellus cras vitae netus quis v,,,1,enim placerat malesuada platea lectus ornare dolor penatibus sem mi lorem dolor nascetur vulputate hendrerit elit lacinia purus ut suscipit dis tellus,1;11;14,,36;25;973;33;972;974;41;2;43;37;27;35;32;22;5;26;24;23;1,diam ullamcorper turpis sagittis nam nibh at velit consequat adipiscing pulvinar blandit pulvinar consequat scelerisque varius parturient parturient natoque fermentum consectetur neque porttitor fusce netus accu,,,dis vivamus ac arcu phasellus aliquet vestibulum venenatis metus,1,,977;2;11;14;1,,966,,,,,1,,12;11;977;1,,2;972;34;24;973;25;4;21;44;43;42;3;37;26;971;22;33;5;35;36;1;974;32;41;27,,,,ligula praesent ante euismod lacus auctor ultrices diam fames faucibus ac pharetra praesent diam penatibus ,988,magna vitae parturient lacus tortor hac lorem eu lectus lobortis placerat ut risus laoreet suspendisse fusce condimentum molestie venenatis elit tellus dictum mauris odio volutpat dignissim magnis montes tortor faucibus massa lacin,massa vitae quam arcu ullamcorper curabitur amet lobortis a mauris rutrum pellentesque quis praesent magnis venenati,38649431
20600718,3,1,977,4;10,,900,491,6;7,tincidunt ultricies duis bibendum facilisis nam aliquet vitae bibendum tellus metus ac odio interdum dis praesent nam consectetur luctus eu integer penatibus odio ut cursus maecenas quis auctor aenean gravida amet habitasse f,988,18700080,5,20691004,8;9;5,id ullamcorper sem,999,264,5.728106385500185,7.731734760127464,999,8.670335865466356,181716.44257261726,216852.165300835,234191.8769874174,900,365629.22590450034,999,1,1,23025967000,900,35884559.703031555,900,812,8,3,27,1;955,900,2,966,,37;22;25;31;2;44;971;36;41;26;5;34;42;32;21;35;23;43;972;24;1;27;974;973,,,,nam iaculis pellentesque vivamus quis praesent tristique ligula odio mi vel lorem sagi,988,est commodo quis cum ultrices tempus condimentum tristique venenatis massa malesuada ridiculus at magna nascetur lorem nec ultricies augue felis cras mus aliquam in pulvinar pellentesque leo dolor pellentesque risus,14;1;11;977,,971;21;23;27;26;2;33;5;32;31;37;972;3;42;1,,,,,988,,11;977;2;12;13,,34;1;36;2;37;24;43;31;26;23;41;5;22;32;44;3;27;974;35;4,neque etiam scelerisque tempor fusce varius nibh dictum dui est viverra sed enim elementum condimentum consequat est nibh enim blandit aenean adipiscing sed dis consequat magna erat leo vestibulum risus interdum nibh accumsan blandit imperdiet ipsum sollicitudin sem,,,integer sed ullamcorper placerat turpis nullam etiam sodales nascetur rhoncus cursus a at varius scelerisque sed convallis donec quis tortor ipsum interdum luctus nisl ,966,,11;12;2,,966,,auctor in curabitur euismod eleifend nec ullamcorper lacinia libero nam est aliquet erat tempor ante urna malesuada tempor accumsan tellus gravida ,,,988,lobortis commodo turpis habitasse sit dictumst ligula commodo ipsum pulvinar pellentesque maecenas lectus cras potenti mus vel nunc mi ipsum nam id nibh nascetur arcu sollicitudin nisl placerat tempor interdum sollicitudin maecenas etiam dui nam eu ridiculus sociis pulvi,erat malesuada nascetur mauris ultrices hac pharetra mi ,
20570611,2,2,977,11;2;10;9,,999,409,999,cras fames placerat dolor molestie massa integer proin elementum nisl iaculis pe,988,11573583,1,20500430,1;977,,1,236,8.258303526609366,2.3282943768221136,7,6.160834801608628,232862.28293909368,127418.65178274595,395304.34327275347,999,188805.331040103,2,2,998,32023960402,900,27531768.691665854,988,711,5,2,49,3,900,2,988,,973;37;25;23;32;24;5;2;35;3;22;4,,,porta aenean eget ut posuere metus facilisis est at mi elit imperdiet metus non donec etiam iaculis non fames scelerisque felis in mi pellentesque diam magna sit q,,966,,988,,33,,congue nullam molestie velit integer faucibus dolor facilisi ullamcorper tellus facilisis magna urna pu,,,988,,13;12,,988,leo aenean tristique nam mauris fringilla tellus platea laoreet pulv,,suscipit nascetur arcu quis netus nulla velit mi hac suscipit suscipit elementum molestie hac nulla quis magnis est eleifend hendrerit quam eleifend hac suspendisse at volutpat porttitor et ante molestie eros fringilla commodo porta,,988,non maur,1;13;12;977;14,,971;33;42;34;22;44,,,vulputate suscipit consequat non cursus feugiat erat pharetra eleifend proin parturient fringilla natoque scelerisque nec fermentum egestas quam a feugiat praesent vitae maecenas phasellus pretium faucibus placerat senectus habitant nunc scelerisque nibh,cursus porta ut tristique pharetra vulputate consectetur sodales nullam nibh ultrices urna cras mus gravida adipiscin,966,,ac consectetur interdum bibendum lectus penatibus lectus adipiscing accumsan iaculis ma,25190332
20690201,2,1,977,999,elit fringilla praesent suspendisse elit eget ullamcorper fames lectus hac odio enim malesuada sodales in nibh consectetur fames venenatis commodo felis tristique arcu sapien gravida etiam velit ullamcorper sagittis netus praesent ante pena,999,506,5,ridiculus lacus enim quisque nam eleifend fusce diam ante viverra pulvinar dui elit purus feugiat orci habitant platea rutrum risus ridiculus pharetra p,999,23623344,3,20670501,8;6;9,,6,237,3.610430566156529,3.8476330826776683,6,6.651045603379309,358517.40976588376,725911.3379543744,96699.68153098441,900,124007.31517889583,1,1,2,12005000500,988,28198348.9577876,988,331,3,2,43,3;2,900,1,11;14,,972;26;31;21;24;974;4,felis eros lacinia habitasse congue laoreet tincidunt semper egestas placerat urna sociis felis n,,,,1,,12;13;14,,22;26;36;34,,dui quisque neque nascetur imperdiet in nascetur aenean pellentesque montes dis at feugiat nulla ridiculus lectus dignissim eros ipsum viv,,,1,nisl fames donec donec natoque est phasellus nisl orci tempor nullam pulvinar malesuada lorem maecenas porttitor,14,,988,,,quam magn,,1,,966,,21;26;27;25;2;973;41;3;36;37;24;44;34;35;42;43;4;972;1;22;31;33;5;974;971;23,lacinia enim nisl ut nullam co,,lacus penatibus parturient lobortis diam nulla aliquet leo non vel porttitor vitae nam hac magna eu tincidunt elit hac posuere id convallis tellus urna et condimentum mus aliquet quis consequat elit amet penatibus risus id etiam erat ullamcorper imperdiet fermen,,1,,sit bibendum porta accumsan nec phasellus viverra donec consectetur sit eu nulla tempor mollis interdum magna nulla dui pellentesque ele,
